%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
515054000000,0,515046000000,FR_wheel_link,-1.3261496977259486,-16.66113430536771,12.494590573922565,-0.8662789569711633,0.11151600896902336,0.07005443178546633
515054000000,1,515047000000,FR_wheel_link,0.1920638216882947,-0.5174576885196086,1.100537293478168,-0.008042827369151061,-0.006712195672959026,-0.008296009401843695
515054000000,2,515048000000,FR_wheel_link,-1.1646374753272974,-16.671233671857767,12.174339262232987,-0.8850878827680297,0.09515027419146527,0.060836590687404934
515054000000,3,515049000000,FR_wheel_link,0.19244642427067105,-0.5125054078429315,1.0395118009613067,-0.009256301857279131,-0.00647157723237444,-0.008579807175826718
515054000000,4,515050000000,FR_wheel_link,-1.3221457675957127,-16.66304318304434,12.487571632910605,-0.8668951998078496,0.11114076590323929,0.06983907023604238
515054000000,5,515051000000,FR_wheel_link,0.19216952944693122,-0.5175715789551214,1.0991493486364665,-0.008072897986282457,-0.006714180777710496,-0.00830636229012498
515054000000,6,515052000000,FR_wheel_link,-1.1699765967132043,-16.67511250847944,12.191021593912696,-0.884551411045507,0.09572904445666203,0.06115040548808007
515054000000,7,515053000000,FR_wheel_link,0.19243760933704618,-0.5128177161800911,1.0413561347206501,-0.00921914354415442,-0.006494348961869312,-0.008569510823615754
515054000000,8,515054000000,FR_wheel_link,-1.3127318750945243,-16.664919167322232,12.476456367800417,-0.867733659851101,0.11026443283597276,0.0693256283841106
515055000000,9,515055000000,FR_wheel_link,0.19239351413500017,-0.5175115504869324,1.0961077545807132,-0.008140869340252115,-0.0067241457516591914,-0.008325226706273416
515056000000,10,515056000000,FR_wheel_link,-1.1788549964711121,-16.68245554266143,12.231756421089768,-0.882966306832861,0.09676276622516888,0.06169024102587198
515057000000,11,515057000000,FR_wheel_link,0.192512052718029,-0.5132281992677362,1.0454172541978337,-0.009143005950848139,-0.0065581991093760705,-0.008549426609881504
515058000000,12,515058000000,FR_wheel_link,-1.2915217132378745,-16.665114871535085,12.454809582857582,-0.8690100081687778,0.1082748128384724,0.06815740193334338
515059000000,13,515059000000,FR_wheel_link,0.19291249742581795,-0.5170817898664816,1.0898045406093946,-0.008282532849780852,-0.006755322361224893,-0.008364054896313082
515060000000,14,515060000000,FR_wheel_link,-1.1942524118170015,-16.694503742422476,12.322425270373964,-0.8789567526150399,0.09866848578395893,0.06265462504034744
515061000000,15,515061000000,FR_wheel_link,0.192824086059712,-0.5138878720292461,1.0541980308564656,-0.00898764394939205,-0.006711825927359316,-0.008512479621791125
515062000000,16,515062000000,FR_wheel_link,-1.2449731667447006,-16.661859574524783,12.409778062861015,-0.8712966677472214,0.1038672292018541,0.06557670816174321
515063000000,17,515063000000,FR_wheel_link,0.19326125749793946,-0.515723829825319,1.0766829617009726,-0.008572639317168422,-0.006833716741658429,-0.008420415155339901
515064000000,18,515064000000,FR_wheel_link,-1.1907535802306715,-16.67910911384697,12.349991698201316,-0.8761687458927323,0.09860474901827093,0.06253132527692087
515065000000,19,515065000000,FR_wheel_link,0.19355387633299584,-0.5142170104709687,1.0602498503902629,-0.008893353849300794,-0.006878604250050196,-0.008512411930173387
515066000000,20,515066000000,FR_wheel_link,-1.2022899276924477,-16.656159927247355,12.36555222917478,-0.8733659995611676,0.09977636074549173,0.06319851101710056
515066000000,21,515067000000,FR_wheel_link,0.19390752053409815,-0.5147015844113759,1.0678797578020702,-0.008747781384339244,-0.006942916505577139,-0.008491253316961165
515068000000,22,515068000000,FR_wheel_link,-1.1776581435314917,-16.657308793353778,12.336887951277985,-0.8750921088074426,0.09739154139771522,0.06181396527641153
515069000000,23,515069000000,FR_wheel_link,0.19427482212496097,-0.514108445860773,1.0621898725272356,-0.008843683749555305,-0.006983851805920115,-0.008540877103800514
515071000000,24,515070000000,FR_wheel_link,-1.1815970634791357,-16.64822663630173,12.3435874526193,-0.873946471317198,0.09778265971312855,0.06204121654810624
515071000000,25,515071000000,FR_wheel_link,0.19452447757668054,-0.5142890557332089,1.0653848846619842,-0.008767275731359955,-0.007016767458845713,-0.008540762551844059
515072000000,26,515072000000,FR_wheel_link,-1.1715351219488435,-16.648116423545737,12.333947053552125,-0.8744825699641197,0.09682108072788231,0.06147813220643941
515073000000,27,515073000000,FR_wheel_link,0.19468596963312518,-0.5140188245299034,1.0631827344626563,-0.008792696848561788,-0.007035822536674411,-0.008561939218444146
515074000000,28,515074000000,FR_wheel_link,-1.1732178706875525,-16.644223911425584,12.335687491189825,-0.874055308970876,0.09698831535735214,0.0615773334046926
515075000000,29,515075000000,FR_wheel_link,0.19479516753989384,-0.514120330212747,1.0644530766491092,-0.008756054796992882,-0.007047743000912017,-0.008563401314745622
515076000000,30,515076000000,FR_wheel_link,-1.16916851748232,-16.644685927672125,12.331551252069392,-0.8743397236335135,0.09660879948320344,0.06135423267785933
515077000000,31,515077000000,FR_wheel_link,0.1948796256536783,-0.5140758683274127,1.0636239159814436,-0.008761749855267707,-0.007055601634488023,-0.008573776417103083
515078000000,32,515078000000,FR_wheel_link,-1.1699859942784423,-16.644160155459787,12.332371440724005,-0.8742663491620157,0.09669349027209106,0.06140463161176338
515079000000,33,515079000000,FR_wheel_link,0.19492894154759546,-0.5141829987172076,1.0641326109595768,-0.008745104967708594,-0.007059911945280738,-0.008575426180695952
515080000000,34,515080000000,FR_wheel_link,-1.1684212232567672,-16.645307159336184,12.330339216544292,-0.874501641822933,0.09654959820820891,0.061320954767270675
515081000000,35,515081000000,FR_wheel_link,0.1949647335259368,-0.5142375775065791,1.0637655632364078,-0.008747413230009379,-0.007062185514325527,-0.00858049950792693
515082000000,36,515082000000,FR_wheel_link,-1.1687894721291059,-16.64616528267625,12.330131008650135,-0.8746144311746871,0.09658959128075917,0.06134585345514337
